service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1111111_TR31,1,1,1,1,1,1,1,20251214,20261212
0000011_TR24,0,0,0,0,0,1,1,20260117,20260118
1111100_TR22,1,1,1,1,1,0,0,20251215,20261211
0000011_TR25,0,0,0,0,0,1,1,20251214,20261212
0000011_TR26,0,0,0,0,0,1,1,20251214,20261212
1111111_TR32,1,1,1,1,1,1,1,20251214,20261212
1111001_TR1,1,1,1,1,0,0,1,20251214,20261210
0000110_TR2,0,0,0,0,1,1,0,20251219,20261212
0000010_TR26,0,0,0,0,0,1,0,20251220,20261212
1111100_TR23,1,1,1,1,1,0,0,20260427,20260831
1111100_TR24,1,1,1,1,1,0,0,20260427,20260630
1111100_TR25,1,1,1,1,1,0,0,20260701,20260831
1111111_TR33,1,1,1,1,1,1,1,20260425,20260928
1111100_TR26,1,1,1,1,1,0,0,20260511,20260629
0000000_TR14,0,0,0,0,0,0,0,20251222,20260831
0000011_TR27,0,0,0,0,0,1,1,20251214,20261212
1111110_TR14,1,1,1,1,1,1,0,20251215,20261212
0000001_TR25,0,0,0,0,0,0,1,20251214,20261206
0000011_TR28,0,0,0,0,0,1,1,20251214,20261212
0000011_TR29,0,0,0,0,0,1,1,20251214,20261212
0000011_TR30,0,0,0,0,0,1,1,20260117,20260614
0000011_TR31,0,0,0,0,0,1,1,20251214,20261212
1111111_TR34,1,1,1,1,1,1,1,20251214,20261212
1111101_TR7,1,1,1,1,1,0,1,20260104,20260109
1111100_TR27,1,1,1,1,1,0,0,20251215,20261211
0111100_TR2,0,1,1,1,1,0,0,20251216,20261211
0111100_TR3,0,1,1,1,1,0,0,20260106,20260123
1000000_TR5,1,0,0,0,0,0,0,20251215,20261207
1000000_TR6,1,0,0,0,0,0,0,20260105,20260119
0000011_TR32,0,0,0,0,0,1,1,20251214,20261212
0000011_TR33,0,0,0,0,0,1,1,20260110,20260125
1111100_TR28,1,1,1,1,1,0,0,20251215,20261211
1111100_TR29,1,1,1,1,1,0,0,20260105,20260123
1111111_TR35,1,1,1,1,1,1,1,20251214,20261212
1111111_TR36,1,1,1,1,1,1,1,20260105,20260125
0000010_TR27,0,0,0,0,0,1,0,20251220,20261212
0000010_TR28,0,0,0,0,0,1,0,20260110,20260124
1111101_TR8,1,1,1,1,1,0,1,20251214,20261211
1111101_TR9,1,1,1,1,1,0,1,20260105,20260125
0000011_TR34,0,0,0,0,0,1,1,20251214,20261212
1111100_TR30,1,1,1,1,1,0,0,20251215,20261211
1111000_TR16,1,1,1,1,0,0,0,20251215,20261210
1111000_TR17,1,1,1,1,0,0,0,20260105,20260122
0000111_TR1,0,0,0,0,1,1,1,20251214,20261212
0000111_TR2,0,0,0,0,1,1,1,20260109,20260125
1111111_TR37,1,1,1,1,1,1,1,20251214,20261212
1111111_TR38,1,1,1,1,1,1,1,20251214,20261212
0000011_TR35,0,0,0,0,0,1,1,20251214,20261212
0000011_TR36,0,0,0,0,0,1,1,20260103,20260104
1111100_TR31,1,1,1,1,1,0,0,20251215,20261211
0000001_TR26,0,0,0,0,0,0,1,20251214,20261206
0000000_TR15,0,0,0,0,0,0,0,20251214,20261212
0000011_TR37,0,0,0,0,0,1,1,20251214,20261212
1111100_TR32,1,1,1,1,1,0,0,20251215,20261211
1111111_TR39,1,1,1,1,1,1,1,20251214,20261212
1000011_TR2,1,0,0,0,0,1,1,20260103,20260105
0000011_TR38,0,0,0,0,0,1,1,20251214,20261212
1111100_TR33,1,1,1,1,1,0,0,20251215,20261211
1111100_TR34,1,1,1,1,1,0,0,20251214,20261212
1111111_TR40,1,1,1,1,1,1,1,20251214,20261212
1111111_TR41,1,1,1,1,1,1,1,20260511,20260830
1111111_TR42,1,1,1,1,1,1,1,20251214,20261212
0000011_TR39,0,0,0,0,0,1,1,20251214,20261212
1111111_TR43,1,1,1,1,1,1,1,20251214,20261212
1111111_TR44,1,1,1,1,1,1,1,20251214,20261212
1111111_TR45,1,1,1,1,1,1,1,20251214,20261212
0000100_TR13,0,0,0,0,1,0,0,20251219,20261211
1111101_TR10,1,1,1,1,1,0,1,20251214,20261211
0000011_TR40,0,0,0,0,0,1,1,20251214,20261212
0000001_TR27,0,0,0,0,0,0,1,20251214,20261206
1111110_TR15,1,1,1,1,1,1,0,20251215,20261212
0000101_TR4,0,0,0,0,1,0,1,20251214,20261211
1111000_TR18,1,1,1,1,0,0,0,20251215,20261210
0000010_TR29,0,0,0,0,0,1,0,20251220,20261212
1111111_TR46,1,1,1,1,1,1,1,20251214,20261212
1111100_TR35,1,1,1,1,1,0,0,20260615,20261211
1111110_TR16,1,1,1,1,1,1,0,20251214,20261212
1111111_TR47,1,1,1,1,1,1,1,20260321,20261211
1111100_TR36,1,1,1,1,1,0,0,20251214,20261212
1111111_TR48,1,1,1,1,1,1,1,20251214,20261212
0000010_TR30,0,0,0,0,0,1,0,20251220,20261212
1111110_TR17,1,1,1,1,1,1,0,20251214,20261212
0000000_TR16,0,0,0,0,0,0,0,20251214,20261212
0000011_TR41,0,0,0,0,0,1,1,20251214,20261212
1111100_TR37,1,1,1,1,1,0,0,20251215,20261211
0000011_TR42,0,0,0,0,0,1,1,20251214,20261212
0000011_TR43,0,0,0,0,0,1,1,20251214,20261212
1111100_TR38,1,1,1,1,1,0,0,20251215,20261211
1111100_TR39,1,1,1,1,1,0,0,20260605,20260831
1111111_TR49,1,1,1,1,1,1,1,20251214,20261212
0000011_TR44,0,0,0,0,0,1,1,20251214,20261212
0000011_TR45,0,0,0,0,0,1,1,20251214,20261212
0000011_TR46,0,0,0,0,0,1,1,20260103,20260111
0000000_TR17,0,0,0,0,0,0,0,20251214,20261212
0000000_TR18,0,0,0,0,0,0,0,20260321,20261101
0000011_TR47,0,0,0,0,0,1,1,20251214,20261212
1111100_TR40,1,1,1,1,1,0,0,20251215,20261211
1111100_TR41,1,1,1,1,1,0,0,20251215,20261211
0000100_TR14,0,0,0,0,1,0,0,20260703,20260828
0000100_TR15,0,0,0,0,1,0,0,20260320,20261030
0000000_TR19,0,0,0,0,0,0,0,20251222,20260831
1111100_TR42,1,1,1,1,1,0,0,20251215,20261211
0000011_TR48,0,0,0,0,0,1,1,20251214,20261212
1111100_TR43,1,1,1,1,1,0,0,20251215,20261211
0000100_TR16,0,0,0,0,1,0,0,20251231,20260831
1111100_TR44,1,1,1,1,1,0,0,20251215,20261211
0000010_TR31,0,0,0,0,0,1,0,20251214,20261212
0000100_TR17,0,0,0,0,1,0,0,20260320,20261030
0000110_TR3,0,0,0,0,1,1,0,20260320,20261031
0000001_TR28,0,0,0,0,0,0,1,20260322,20261101
0000000_TR20,0,0,0,0,0,0,0,20251214,20261212
0000011_TR49,0,0,0,0,0,1,1,20251214,20261212
0000011_TR50,0,0,0,0,0,1,1,20251220,20260104
1111111_TR50,1,1,1,1,1,1,1,20251214,20261212
1111111_TR51,1,1,1,1,1,1,1,20251213,20261211
0000010_TR32,0,0,0,0,0,1,0,20251220,20261212
0000001_TR29,0,0,0,0,0,0,1,20251214,20261206
0000011_TR51,0,0,0,0,0,1,1,20251214,20261212
1111110_TR18,1,1,1,1,1,1,0,20251215,20261211
0000010_TR33,0,0,0,0,0,1,0,20260321,20261031
1111111_TR52,1,1,1,1,1,1,1,20251214,20261212
0000011_TR52,0,0,0,0,0,1,1,20251214,20261212
1111101_TR11,1,1,1,1,1,0,1,20251215,20261211
0000010_TR34,0,0,0,0,0,1,0,20260321,20261031
0000001_TR30,0,0,0,0,0,0,1,20260322,20261101
1111111_TR53,1,1,1,1,1,1,1,20251214,20261212
0000010_TR35,0,0,0,0,0,1,0,20260516,20260516
1111111_TR54,1,1,1,1,1,1,1,20251214,20261212
0000011_TR53,0,0,0,0,0,1,1,20251214,20261212
0000100_TR18,0,0,0,0,1,0,0,20251219,20261211
1111100_TR45,1,1,1,1,1,0,0,20251215,20261210
0000011_TR54,0,0,0,0,0,1,1,20260523,20260830
0000011_TR55,0,0,0,0,0,1,1,20251214,20261212
0000010_TR36,0,0,0,0,0,1,0,20260321,20261031
0000001_TR31,0,0,0,0,0,0,1,20260322,20261101
0000011_TR56,0,0,0,0,0,1,1,20251214,20261206
0000010_TR37,0,0,0,0,0,1,0,20251220,20261212
0000011_TR57,0,0,0,0,0,1,1,20251220,20261212
0000011_TR58,0,0,0,0,0,1,1,20251214,20261212
0000011_TR59,0,0,0,0,0,1,1,20251214,20261212
0000110_TR4,0,0,0,0,1,1,0,20251219,20261212
1111010_TR5,1,1,1,1,0,1,0,20251215,20261212
0000100_TR19,0,0,0,0,1,0,0,20251219,20261211
1111011_TR5,1,1,1,1,0,1,1,20251213,20261210
0000010_TR38,0,0,0,0,0,1,0,20261031,20261031
0000010_TR39,0,0,0,0,0,1,0,20260321,20261028
1111100_TR46,1,1,1,1,1,0,0,20251215,20261211
0000011_TR60,0,0,0,0,0,1,1,20251214,20261212
1111110_TR19,1,1,1,1,1,1,0,20251220,20261212
1111100_TR47,1,1,1,1,1,0,0,20251215,20260306
1111111_TR55,1,1,1,1,1,1,1,20251214,20261212
0000011_TR61,0,0,0,0,0,1,1,20251214,20261212
1111101_TR12,1,1,1,1,1,0,1,20251215,20261211
1111111_TR56,1,1,1,1,1,1,1,20251214,20261212
1111111_TR57,1,1,1,1,1,1,1,20251213,20261211
1111111_TR58,1,1,1,1,1,1,1,20260522,20260830
0000011_TR62,0,0,0,0,0,1,1,20251214,20261212
1111100_TR48,1,1,1,1,1,0,0,20251215,20261211
0000000_TR21,0,0,0,0,0,0,0,20251224,20261129
0000000_TR22,0,0,0,0,0,0,0,20251224,20261129
1111110_TR20,1,1,1,1,1,1,0,20251215,20261212
1111110_TR21,1,1,1,1,1,1,0,20251215,20261212
0000000_TR23,0,0,0,0,0,0,0,20260425,20260926
0000011_TR63,0,0,0,0,0,1,1,20260321,20261101
0000011_TR64,0,0,0,0,0,1,1,20251220,20261212
0000011_TR65,0,0,0,0,0,1,1,20251220,20261212
1111100_TR49,1,1,1,1,1,0,0,20251215,20261211
0000010_TR40,0,0,0,0,0,1,0,20251220,20261212
0000011_TR66,0,0,0,0,0,1,1,20251214,20261212
1111100_TR50,1,1,1,1,1,0,0,20251222,20261211
0000011_TR67,0,0,0,0,0,1,1,20251214,20261212
0000011_TR68,0,0,0,0,0,1,1,20251214,20261212
1111111_TR59,1,1,1,1,1,1,1,20251214,20261212
0000011_TR69,0,0,0,0,0,1,1,20251214,20261212
0000011_TR70,0,0,0,0,0,1,1,20260606,20260928
0000011_TR71,0,0,0,0,0,1,1,20260403,20261031
0000011_TR72,0,0,0,0,0,1,1,20251214,20261212
0000100_TR20,0,0,0,0,1,0,0,20251219,20261211
1111101_TR13,1,1,1,1,1,0,1,20251214,20261211
0000010_TR41,0,0,0,0,0,1,0,20251220,20261212
0000100_TR21,0,0,0,0,1,0,0,20251219,20261211
0000010_TR42,0,0,0,0,0,1,0,20251220,20261212
0000001_TR32,0,0,0,0,0,0,1,20251214,20261206
0000001_TR33,0,0,0,0,0,0,1,20260405,20260405
0000011_TR73,0,0,0,0,0,1,1,20251214,20261212
1111101_TR14,1,1,1,1,1,0,1,20251214,20261211
0000111_TR3,0,0,0,0,1,1,1,20251214,20261212
0000011_TR74,0,0,0,0,0,1,1,20251214,20261212
0000010_TR43,0,0,0,0,0,1,0,20260124,20260124
0000010_TR44,0,0,0,0,0,1,0,20251214,20261212
0000001_TR34,0,0,0,0,0,0,1,20260322,20261025
0000011_TR75,0,0,0,0,0,1,1,20261028,20261031
0000010_TR45,0,0,0,0,0,1,0,20260321,20261024
0000010_TR46,0,0,0,0,0,1,0,20260321,20261031
0000000_TR24,0,0,0,0,0,0,0,20251214,20261206
0000011_TR76,0,0,0,0,0,1,1,20251220,20261212
0000000_TR25,0,0,0,0,0,0,0,20260103,20261117
0000011_TR77,0,0,0,0,0,1,1,20251214,20261212
0000001_TR35,0,0,0,0,0,0,1,20251214,20261206
0000001_TR36,0,0,0,0,0,0,1,20261028,20261117
0000001_TR37,0,0,0,0,0,0,1,20251214,20261206
0000010_TR47,0,0,0,0,0,1,0,20251220,20261212
0000001_TR38,0,0,0,0,0,0,1,20251214,20261206
0000001_TR39,0,0,0,0,0,0,1,20260111,20260125
1111110_TR22,1,1,1,1,1,1,0,20251215,20261212
1111110_TR23,1,1,1,1,1,1,0,20260105,20260124
1111101_TR15,1,1,1,1,1,0,1,20251214,20261211
1111101_TR16,1,1,1,1,1,0,1,20251214,20261211
0000010_TR48,0,0,0,0,0,1,0,20251220,20261212
1111111_TR60,1,1,1,1,1,1,1,20260105,20260124
0000011_TR78,0,0,0,0,0,1,1,20251214,20261212
0000011_TR79,0,0,0,0,0,1,1,20251214,20261212
1111010_TR6,1,1,1,1,0,1,0,20251215,20261212
0000100_TR22,0,0,0,0,1,0,0,20251219,20261211
1111100_TR51,1,1,1,1,1,0,0,20251215,20260612
1111100_TR52,1,1,1,1,1,0,0,20251215,20261211
0000011_TR80,0,0,0,0,0,1,1,20251214,20261212
1111100_TR53,1,1,1,1,1,0,0,20260601,20260831
1111100_TR54,1,1,1,1,1,0,0,20251215,20261211
1111100_TR55,1,1,1,1,1,0,0,20251215,20261211
1111000_TR19,1,1,1,1,0,0,0,20260119,20260129
0000010_TR49,0,0,0,0,0,1,0,20251220,20261212
0000001_TR40,0,0,0,0,0,0,1,20251214,20261206
0000100_TR23,0,0,0,0,1,0,0,20251219,20261211
1111000_TR20,1,1,1,1,0,0,0,20251215,20261210
1111101_TR17,1,1,1,1,1,0,1,20251214,20261211
0000010_TR50,0,0,0,0,0,1,0,20251220,20261212
0000001_TR41,0,0,0,0,0,0,1,20251214,20261206
1111111_TR61,1,1,1,1,1,1,1,20251214,20261212
